Site Codes,Date,Depth,ODO
KIN,2018-07-02T00:00:00Z,0.188,7.69
KIN,2018-07-02T00:00:00Z,0.53,7.19
KIN,2018-07-02T00:00:00Z,1.016,3.68
KIN,2018-07-02T00:00:00Z,1.517,2.95
KIN,2018-07-02T00:00:00Z,1.97,1.62
KIN,2018-07-02T00:00:00Z,2.511,1.24
KIN,2018-07-02T00:00:00Z,3.511,1.08
KIN,2018-07-02T00:00:00Z,4.032,1
KIN,2018-07-02T00:00:00Z,4.515,0.95
KIN,2018-07-02T00:00:00Z,5.112,0.88
KMO,2018-07-02T00:00:00Z,0.193,8.5
KMO,2018-07-02T00:00:00Z,0.521,7.49
KMO,2018-07-02T00:00:00Z,1.023,2.6
KMO,2018-07-02T00:00:00Z,1.487,1.8
KMO,2018-07-02T00:00:00Z,2.013,1.22
KMO,2018-07-02T00:00:00Z,2.521,0.84
KMO,2018-07-02T00:00:00Z,2.925,0.76
KMO,2018-07-02T00:00:00Z,3.196,0.75
VIT,2018-07-02T00:00:00Z,0.203,8.45
VIT,2018-07-02T00:00:00Z,0.509,7.36
VIT,2018-07-02T00:00:00Z,0.978,4.94
VIT,2018-07-02T00:00:00Z,1.499,3.04
VIT,2018-07-02T00:00:00Z,1.999,2.55
VIT,2018-07-02T00:00:00Z,2.488,2.06
VIT,2018-07-02T00:00:00Z,3.019,1.79
VIT,2018-07-02T00:00:00Z,3.484,1.22
SUC,2018-07-02T00:00:00Z,0.187,8.57
SUC,2018-07-02T00:00:00Z,0.504,7.54
SUC,2018-07-02T00:00:00Z,1.01,3.94
SUC,2018-07-02T00:00:00Z,1.515,3.11
SUC,2018-07-02T00:00:00Z,2.006,2.67
SUC,2018-07-02T00:00:00Z,2.494,1.86
SUC,2018-07-02T00:00:00Z,3.011,1.63
SUC,2018-07-02T00:00:00Z,3.499,1.59
SUC,2018-07-02T00:00:00Z,4.02,1.38
SUC,2018-07-02T00:00:00Z,4.513,1.29
SUC,2018-07-02T00:00:00Z,4.762,1.19
MEAD,2018-07-02T00:00:00Z,0.172,8.74
MEAD,2018-07-02T00:00:00Z,0.519,8.68
MEAD,2018-07-02T00:00:00Z,0.993,8.44
MEAD,2018-07-02T00:00:00Z,1.528,6.03
MEAD,2018-07-02T00:00:00Z,2.013,3.93
MEAD,2018-07-02T00:00:00Z,2.524,3.13
MEAD,2018-07-02T00:00:00Z,2.899,3.01
MEAD,2018-07-02T00:00:00Z,3.208,3
MULB FARM,2018-07-02T00:00:00Z,0.19,8.9
MULB FARM,2018-07-02T00:00:00Z,0.49,8.84
MULB FARM,2018-07-02T00:00:00Z,1.013,8.74
MULB FARM,2018-07-02T00:00:00Z,1.525,6.51
MULB FARM,2018-07-02T00:00:00Z,2.007,4.08
MULB FARM,2018-07-02T00:00:00Z,2.494,4.02
MULB FARM,2018-07-02T00:00:00Z,2.905,3.97
WMP,2018-07-02T00:00:00Z,0.209,8.87
WMP,2018-07-02T00:00:00Z,0.502,8.87
WMP,2018-07-02T00:00:00Z,1.019,8.85
WMP,2018-07-02T00:00:00Z,1.523,8.45
WMP,2018-07-02T00:00:00Z,1.995,4.5
WMP,2018-07-02T00:00:00Z,2.491,4
WMP,2018-07-02T00:00:00Z,2.999,3.85
WMP,2018-07-02T00:00:00Z,3.484,3.8
WMP,2018-07-02T00:00:00Z,3.999,3.77
WMP,2018-07-02T00:00:00Z,4.51,3.75
WMP,2018-07-02T00:00:00Z,5.025,3.73
WMP,2018-07-02T00:00:00Z,5.609,3.71
CAV,2018-07-02T00:00:00Z,0.197,8.88
CAV,2018-07-02T00:00:00Z,0.506,8.88
CAV,2018-07-02T00:00:00Z,1.039,8.86
CAV,2018-07-02T00:00:00Z,1.534,9.53
CAV,2018-07-02T00:00:00Z,2.04,9.05
CAV,2018-07-02T00:00:00Z,2.52,8.25
CAV,2018-07-02T00:00:00Z,2.901,7.69
REG,2018-07-02T00:00:00Z,0.228,8.78
REG,2018-07-02T00:00:00Z,0.507,8.75
REG,2018-07-02T00:00:00Z,1.011,8.7
REG,2018-07-02T00:00:00Z,1.526,8.68
REG,2018-07-02T00:00:00Z,2.003,8.67
REG,2018-07-02T00:00:00Z,2.507,9.1
REG,2018-07-02T00:00:00Z,3.008,9.92
REG,2018-07-02T00:00:00Z,3.511,10.2
REG,2018-07-02T00:00:00Z,3.757,10.23
KIN,2018-07-09T00:00:00Z,0.222,9.17
KIN,2018-07-09T00:00:00Z,0.528,9.16
KIN,2018-07-09T00:00:00Z,1.016,9.16
KIN,2018-07-09T00:00:00Z,1.512,9.16
KIN,2018-07-09T00:00:00Z,2.017,9.15
KIN,2018-07-09T00:00:00Z,2.506,9.14
KIN,2018-07-09T00:00:00Z,3.02,9.14
KIN,2018-07-09T00:00:00Z,3.506,9.14
KIN,2018-07-09T00:00:00Z,4.016,9.13
KIN,2018-07-09T00:00:00Z,4.527,9.11
KIN,2018-07-09T00:00:00Z,4.83,9.11
KMO,2018-07-09T00:00:00Z,0.216,9.17
KMO,2018-07-09T00:00:00Z,0.554,9.19
KMO,2018-07-09T00:00:00Z,1.016,9.19
KMO,2018-07-09T00:00:00Z,1.5,9.18
KMO,2018-07-09T00:00:00Z,2.02,9.17
KMO,2018-07-09T00:00:00Z,2.52,9.17
KMO,2018-07-09T00:00:00Z,3.013,9.16
KMO,2018-07-09T00:00:00Z,3.521,9.15
VIT,2018-07-09T00:00:00Z,0.262,9.22
VIT,2018-07-09T00:00:00Z,0.507,9.2
VIT,2018-07-09T00:00:00Z,1.044,9.2
VIT,2018-07-09T00:00:00Z,1.535,9.19
VIT,2018-07-09T00:00:00Z,2.031,9.19
VIT,2018-07-09T00:00:00Z,2.527,9.18
VIT,2018-07-09T00:00:00Z,2.828,9.17
SUC,2018-07-09T00:00:00Z,0.194,9.23
SUC,2018-07-09T00:00:00Z,0.506,9.22
SUC,2018-07-09T00:00:00Z,1.012,9.21
SUC,2018-07-09T00:00:00Z,1.522,9.19
SUC,2018-07-09T00:00:00Z,2.026,9.18
SUC,2018-07-09T00:00:00Z,2.505,9.17
SUC,2018-07-09T00:00:00Z,2.983,9.16
SUC,2018-07-09T00:00:00Z,3.552,9.15
SUC,2018-07-09T00:00:00Z,4.057,9.15
SUC,2018-07-09T00:00:00Z,4.479,9.18
SUC,2018-07-09T00:00:00Z,4.807,9.17
MEAD,2018-07-09T00:00:00Z,0.225,9.33
MEAD,2018-07-09T00:00:00Z,0.515,9.32
MEAD,2018-07-09T00:00:00Z,1.013,9.32
MEAD,2018-07-09T00:00:00Z,1.521,9.31
MEAD,2018-07-09T00:00:00Z,2.04,9.31
MEAD,2018-07-09T00:00:00Z,2.515,9.3
MEAD,2018-07-09T00:00:00Z,2.923,9.29
MULB FARM,2018-07-09T00:00:00Z,0.247,9.38
MULB FARM,2018-07-09T00:00:00Z,0.52,9.38
MULB FARM,2018-07-09T00:00:00Z,1.03,9.36
MULB FARM,2018-07-09T00:00:00Z,1.543,9.36
MULB FARM,2018-07-09T00:00:00Z,2.007,9.35
MULB FARM,2018-07-09T00:00:00Z,2.34,9.34
WMP,2018-07-09T00:00:00Z,0.201,9.43
WMP,2018-07-09T00:00:00Z,0.542,9.42
WMP,2018-07-09T00:00:00Z,1.039,9.42
WMP,2018-07-09T00:00:00Z,1.508,9.41
WMP,2018-07-09T00:00:00Z,2.033,9.41
WMP,2018-07-09T00:00:00Z,2.518,9.4
WMP,2018-07-09T00:00:00Z,2.998,9.4
WMP,2018-07-09T00:00:00Z,3.541,9.39
WMP,2018-07-09T00:00:00Z,4.04,9.38
WMP,2018-07-09T00:00:00Z,4.543,9.38
CAV,2018-07-09T00:00:00Z,0.218,9.49
CAV,2018-07-09T00:00:00Z,0.514,9.48
CAV,2018-07-09T00:00:00Z,1.033,9.48
CAV,2018-07-09T00:00:00Z,1.528,9.48
CAV,2018-07-09T00:00:00Z,2.058,9.47
CAV,2018-07-09T00:00:00Z,2.553,9.46
CAV,2018-07-09T00:00:00Z,2.835,9.46
REG,2018-07-09T00:00:00Z,0.189,9.54
REG,2018-07-09T00:00:00Z,0.516,9.53
REG,2018-07-09T00:00:00Z,1.033,9.53
REG,2018-07-09T00:00:00Z,1.546,9.52
REG,2018-07-09T00:00:00Z,2.02,9.51
REG,2018-07-09T00:00:00Z,2.535,9.5
REG,2018-07-09T00:00:00Z,2.887,9.5
KIN,2018-07-16T00:00:00Z,0.224,8.78
KIN,2018-07-16T00:00:00Z,0.511,8.79
KIN,2018-07-16T00:00:00Z,0.995,8.77
KIN,2018-07-16T00:00:00Z,1.527,8.77
KIN,2018-07-16T00:00:00Z,2.027,8.74
KIN,2018-07-16T00:00:00Z,2.521,8.75
KIN,2018-07-16T00:00:00Z,2.97,8.79
KIN,2018-07-16T00:00:00Z,3.536,8.77
KIN,2018-07-16T00:00:00Z,4.005,8.73
KIN,2018-07-16T00:00:00Z,4.521,8.72
KIN,2018-07-16T00:00:00Z,4.85,8.71
KMO,2018-07-16T00:00:00Z,0.229,8.92
KMO,2018-07-16T00:00:00Z,0.542,8.88
KMO,2018-07-16T00:00:00Z,1.017,8.82
KMO,2018-07-16T00:00:00Z,1.452,8.85
KMO,2018-07-16T00:00:00Z,1.814,8.86
VIT,2018-07-16T00:00:00Z,0.227,9.05
VIT,2018-07-16T00:00:00Z,0.516,9.03
VIT,2018-07-16T00:00:00Z,1.022,9.01
VIT,2018-07-16T00:00:00Z,1.531,9.02
VIT,2018-07-16T00:00:00Z,2.044,9.02
VIT,2018-07-16T00:00:00Z,2.527,9.02
VIT,2018-07-16T00:00:00Z,3.126,8.97
SUC,2018-07-16T00:00:00Z,0.217,9.1
SUC,2018-07-16T00:00:00Z,0.516,9.11
SUC,2018-07-16T00:00:00Z,1.026,9.09
SUC,2018-07-16T00:00:00Z,1.523,9.09
SUC,2018-07-16T00:00:00Z,2.03,9.07
SUC,2018-07-16T00:00:00Z,2.524,9.04
SUC,2018-07-16T00:00:00Z,3.023,9.03
SUC,2018-07-16T00:00:00Z,3.518,9.02
SUC,2018-07-16T00:00:00Z,4.023,9.01
SUC,2018-07-16T00:00:00Z,4.549,9.01
SUC,2018-07-16T00:00:00Z,5.011,9.01
SUC,2018-07-16T00:00:00Z,5.519,9
SUC,2018-07-16T00:00:00Z,5.813,8.99
MEAD,2018-07-16T00:00:00Z,0.231,9.15
MEAD,2018-07-16T00:00:00Z,0.525,9.15
MEAD,2018-07-16T00:00:00Z,1.051,9.14
MEAD,2018-07-16T00:00:00Z,1.518,9.13
MEAD,2018-07-16T00:00:00Z,2.017,9.13
MEAD,2018-07-16T00:00:00Z,2.524,9.12
MEAD,2018-07-16T00:00:00Z,3.027,9.18
MULB FARM,2018-07-16T00:00:00Z,0.197,9.19
MULB FARM,2018-07-16T00:00:00Z,0.518,9.19
MULB FARM,2018-07-16T00:00:00Z,1.015,9.17
MULB FARM,2018-07-16T00:00:00Z,1.524,9.16
MULB FARM,2018-07-16T00:00:00Z,2,9.14
MULB FARM,2018-07-16T00:00:00Z,2.501,9.12
MULB FARM,2018-07-16T00:00:00Z,2.992,9.1
WMP,2018-07-16T00:00:00Z,0.217,9.09
WMP,2018-07-16T00:00:00Z,0.544,9.11
WMP,2018-07-16T00:00:00Z,1.011,9.12
WMP,2018-07-16T00:00:00Z,1.484,9.13
WMP,2018-07-16T00:00:00Z,2.004,9.12
WMP,2018-07-16T00:00:00Z,2.523,9.1
WMP,2018-07-16T00:00:00Z,3.059,9.09
WMP,2018-07-16T00:00:00Z,3.406,9.07
WMP,2018-07-16T00:00:00Z,4.057,9.07
WMP,2018-07-16T00:00:00Z,4.504,9.06
WMP,2018-07-16T00:00:00Z,4.829,9.06
CAV,2018-07-16T00:00:00Z,0.227,9.19
CAV,2018-07-16T00:00:00Z,0.528,9.16
CAV,2018-07-16T00:00:00Z,1.026,9.13
CAV,2018-07-16T00:00:00Z,1.53,9.13
CAV,2018-07-16T00:00:00Z,2.022,9.12
CAV,2018-07-16T00:00:00Z,2.524,9.1
CAV,2018-07-16T00:00:00Z,2.827,9.1
REG,2018-07-16T00:00:00Z,0.197,9.2
REG,2018-07-16T00:00:00Z,0.521,9.17
REG,2018-07-16T00:00:00Z,1.016,9.16
REG,2018-07-16T00:00:00Z,1.509,9.15
REG,2018-07-16T00:00:00Z,2.02,9.14
REG,2018-07-16T00:00:00Z,2.507,9.13
REG,2018-07-16T00:00:00Z,3.107,9.11
KIN,2018-07-23T00:00:00Z,0.194,8.22
KIN,2018-07-23T00:00:00Z,0.497,8.17
KIN,2018-07-23T00:00:00Z,0.987,8.15
KIN,2018-07-23T00:00:00Z,1.521,8.13
KIN,2018-07-23T00:00:00Z,2.014,8.18
KIN,2018-07-23T00:00:00Z,2.512,8.27
KIN,2018-07-23T00:00:00Z,3.008,8.32
